#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__SBAW01	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__SBAW01|g__GWA1-54-10	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__SBAW01|g__GWA1-54-10|s__	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2100	6
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2100|g__	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2100|g__|s__	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2100|g__UBA10103	5
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2100|g__UBA10103|s__	5
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103	3
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103|g__1-14-0-10-45-20	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103|g__1-14-0-10-45-20|s__	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103|g__C7867-001	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA2103|g__C7867-001|s__	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA6065	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA6065|g__	1
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983_A|f__UBA6065|g__|s__	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia	14
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales	13
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665	13
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__	6
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__|s__	6
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__CAJCIR01	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__CAJCIR01|s__	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__PMNU01	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__PMNU01|s__	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__RGVC01	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__RGVC01|s__	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__UBA5150	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__UBA4665|g__UBA5150|s__	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__UBA4664	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__UBA4664|f__	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__UBA4664|f__|g__	1
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__UBA4664|f__|g__|s__	1
d__Bacteria|p__Planctomycetota	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae|g__	1
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Gemmatales|f__Gemmataceae|g__|s__	1
d__Bacteria|p__Proteobacteria	108
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	46
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidocella	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acidocella|s__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__CAJCIS01	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__CAJCIS01|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Palsa-883	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Palsa-883|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Rhodopila	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Rhodopila|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__Aliidongia	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__Aliidongia|s__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__AP-15	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__ATCC43930|f__Stellaceae|g__AP-15|s__	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BOG-932	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BOG-932|f__BOG-932	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BOG-932|f__BOG-932|g__BOG-932	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__BOG-932|f__BOG-932|g__BOG-932|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	3
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__BOG-935	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__BOG-935|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Palsa-881	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Palsa-881|s__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Elsterales	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Elsterales|f__Elsteraceae	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Elsterales|f__Elsteraceae|g__JACQAI01	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Elsterales|f__Elsteraceae|g__JACQAI01|s__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae|g__Rhizomicrobium	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Micropepsales|f__Micropepsaceae|g__Rhizomicrobium|s__	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__Reyranella	5
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__Reyranella|s__	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__Reyranella|s__Reyranella sp013290035	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	8
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Roseiarcus	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Roseiarcus|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__UBA4765	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__UBA4765|g__UBA4765	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__UBA4765|g__UBA4765|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	6
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__BOG-931	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__BOG-931|s__	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Bradyrhizobium	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Bradyrhizobium|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Pseudolabrys	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Pseudolabrys|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Magnetospirillaceae	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Magnetospirillaceae|g__	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Magnetospirillaceae|g__|s__	4
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__JABCZZ01	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__JABCZZ01|g__JABCZZ01	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__JABCZZ01|g__JABCZZ01|s__	2
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA9219	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA9219|f__UBA9219	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA9219|f__UBA9219|g__	1
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__UBA9219|f__UBA9219|g__|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	62
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales	15
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	15
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Collimonas	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Collimonas|s__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__PKWO01	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__PKWO01|s__	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBCK01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__VBCK01|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500	9
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500	9
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__|s__	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__JABDCN01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__JABDCN01|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__JABDEM01	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__JABDEM01|s__	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__JABDGC01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__DSM-16500|f__DSM-16500|g__JABDGC01|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Acerihabitans	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Acerihabitans|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Rahnella	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Rahnella|s__Rahnella laticis	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JAFEDO01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JAFEDO01|f__JAFEDO01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JAFEDO01|f__JAFEDO01|g__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JAFEDO01|f__JAFEDO01|g__|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__LLD-282	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__LLD-282|f__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__LLD-282|f__|g__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__LLD-282|f__|g__|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Nevskiaceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Nevskiaceae|g__Nevskia	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Nevskiaceae|g__Nevskia|s__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas_E	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas_E|s__Pseudomonas_E sp002814235	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales	21
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae	21
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__|s__	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__13-2-20CM-66-19	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__13-2-20CM-66-19|s__	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Bog-1198	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Bog-1198|s__	13
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__FEN-1191	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__FEN-1191|s__	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__UBA6186	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__UBA6186|f__UBA6186	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__UBA6186|f__UBA6186|g__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__UBA6186|f__UBA6186|g__|s__	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	8
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dyella_B	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Dyella_B|s__	4
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rhodanobacter|s__	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rudaea	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Rudaea|s__	1
d__Bacteria|p__Verrucomicrobiota	36
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	36
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Chthoniobacteraceae	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Chthoniobacteraceae|g__Chthoniobacter	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Chthoniobacteraceae|g__Chthoniobacter|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__Udaeobacter	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__UBA10450|g__Udaeobacter|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__UBA1321	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__UBA1321|g__JABDGH01	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Methylacidiphilales|f__UBA1321|g__JABDGH01|s__	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales	21
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae	21
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__	11
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__|s__	11
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Lacunisphaera	2
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Lacunisphaera|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Lacunisphaera|s__Lacunisphaera sp900104925	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Palsa-1447	8
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae|g__Palsa-1447|s__	8
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales	11
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Palsa-1400	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Palsa-1400|g__Palsa-1400	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__Palsa-1400|g__Palsa-1400|s__	1
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__UBA11358	10
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__UBA11358|g__	3
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__UBA11358|g__|s__	3
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__UBA11358|g__UBA11358	7
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Pedosphaerales|f__UBA11358|g__UBA11358|s__	7
Unclassified	294
Unclassified Archaea	49
Unclassified Bacteria	847
