IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300017458,Aquatic,Freshwater,468329,39645,9727,40381,19.7107239256897
3300018049,Aquatic,Marine,459597,69251,16549,79725,19.7105385353278
3300006048,Host-associated,Plants,464272,20654,46130,51440,19.7092908248189
3300024333,Aquatic,Freshwater,481348,33861,4982,36170,19.7061213405003
3300025725,Terrestrial,Soil,175424,49156,7847,53943,19.7015133423889
3300001463,Host-associated,Tunicates,407184,1323,339,1539,19.6993473587023
3300013137,Aquatic,Freshwater,448421,166028,41416,185310,19.6987831109906
3300008131,Host-associated,Human,245010,215832,188358,223887,19.6975775802573
3300019761,Aquatic,Freshwater,480881,45278,18188,57514,19.6951399903669
3300017950,Aquatic,Marine,461282,132863,12671,138912,19.6935204291251
3300025630,Aquatic,Marine,460187,61264,2664,62346,19.6930941737095
3300022925,Aquatic,Marine,459787,116561,14035,125667,19.6915989568505
3300022834,Aquatic,Non-marine Saline and Alkaline,483626,168857,9454,169416,19.6896197504474
3300024292,Aquatic,Marine,468961,178283,97334,200326,19.6859765403686
3300018026,Aquatic,Freshwater,474905,211620,736,211937,19.6853201011221
3300024341,Aquatic,Freshwater,480450,38924,8767,43259,19.6797095227772
3300020601,Aquatic,Marine,466106,171995,9987,174314,19.6796819259738
3300017463,Aquatic,Freshwater,468703,90629,1667,91584,19.6786805925437
3300012679,Aquatic,Freshwater,467350,26296,2241,27979,19.6775979545596
3300022890,Aquatic,Non-marine Saline and Alkaline,485840,95148,863,95168,19.6764973917049
3300020178,Aquatic,Marine,452457,116257,10892,122143,19.6728708602594
3300025658,Aquatic,Marine,446747,241800,70479,251648,19.6705218362086
3300024329,Aquatic,Marine,468952,152388,84044,165917,19.6686368415877
3300017509,Aquatic,Freshwater,464638,209108,43066,212018,19.6667211649979
3300017531,Aquatic,Freshwater,462899,1024,922,1620,19.6645414778626
3300017941,Aquatic,Freshwater,474477,218249,511,218452,19.6608612659014
3300022864,Aquatic,Non-marine Saline and Alkaline,483640,169873,5749,170223,19.6602715589453
