uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,co2Trapped
331b5d05-d523-479c-b8c3-cdc437d12cf3,2015-04-28,BART_023.basePlot.bgc,D01,BART,BART_023,distributed,2014-08-19T14:57Z,BART_023-M-31-3-20140819,,BART_023-M-31-3-20140819-CN,,soil,N,5.1,-26.5,0.51,11.82,23,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
26378cc2-a661-487a-8692-8d8b9df274d6,2015-04-28,BART_023.basePlot.bgc,D01,BART,BART_023,distributed,2014-08-19T16:11Z,BART_023-M-19-30-20140819,,BART_023-M-19-30-20140819-CN,,soil,N,3.1,-26.3,0.87,20.46,23.5,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
3a7ba3d4-839d-4a93-95dc-c9a38d19337f,2015-04-28,BART_023.basePlot.bgc,D01,BART,BART_023,distributed,2014-08-19T16:11Z,BART_023-O-19-30-20140819,,BART_023-O-19-30-20140819-CN,,soil,N,-1.4,-27.7,2.06,47.24,23,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
e9b0ae77-2568-45f4-bb00-e4711e1c9b8d,2015-04-28,BART_005.basePlot.bgc,D01,BART,BART_005,distributed,2014-08-19T16:30Z,BART_005-M-33-2-20140819,,BART_005-M-33-2-20140819-CN,,soil,N,6.1,-26.5,0.23,7.14,31.1,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
abcc32d1-bdd1-4e64-96f3-69ca93bac64e,2015-04-28,BART_005.basePlot.bgc,D01,BART,BART_005,distributed,2014-08-19T16:30Z,BART_005-O-33-2-20140819,,BART_005-O-33-2-20140819-CN,,soil,N,2.1,-27.2,1.9,56.69,29.8,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
01b455f9-52e4-4fb0-8ffd-d3bc9b52070d,2015-04-28,BART_005.basePlot.bgc,D01,BART,BART_005,distributed,2014-08-19T17:07Z,BART_005-O-4-9-20140819,,BART_005-O-4-9-20140819-CN,,soil,N,2.4,-27,2.31,52.77,22.9,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
850cc97a-f0ca-439f-be93-c014d8f999f1,2015-04-28,BART_005.basePlot.bgc,D01,BART,BART_005,distributed,2014-08-19T17:07Z,BART_005-M-4-9-20140819,,BART_005-M-4-9-20140819-CN,,soil,N,6,-26.2,0.19,6.86,35.4,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
55c6342a-6f0b-4610-932b-3ce1e856a8d6,2015-04-28,BART_005.basePlot.bgc,D01,BART,BART_005,distributed,2014-08-19T17:34Z,BART_005-O-24-40-20140819,,BART_005-O-24-40-20140819-CN,,soil,N,5.8,-27,1.64,53.83,32.8,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
474f5eda-2a48-411c-8823-a7c0a5df60c4,2015-04-28,BART_005.basePlot.bgc,D01,BART,BART_005,distributed,2014-08-19T17:34Z,BART_005-M-24-40-20140819,,BART_005-M-24-40-20140819-CN,,soil,N,7.8,-26.7,0.4,12.67,31.4,OK,OK,,,1,"",University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData,20220107T002933Z,RELEASE-2022,
247fcc3e-3e86-4872-bad4-621702daf4d2,2015-04-28,BART_001.basePlot.bgc,D01,BART,BART_001,distributed,2014-08-19T18:11Z,BART_001-O-15-1-20140819,,BART_001-O-15-1-20140819-CN,,soil,N,1,-27,1.58,39.2,24.8,OK,OK,,,2,Replicate samples,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,legacyData|dryingProtocolError,20220107T002933Z,RELEASE-2022,
