uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
d7034407-ea26-4c30-acbc-e086af9af15d,KONZ,2017-10-02,2017-10-02,KONZ-20171002-BREF2,KONZ-20171002-BREF2-A,,KONZ-20171002-BREF2-B,,KONZ-20171002-BREF2-C,,,,20211222T035648Z,RELEASE-2022
01d30c01-b560-4090-b008-8965dd9f1893,KONZ,2017-10-04,2017-10-04,KONZ-20171004-BREF2,KONZ-20171004-BREF2-A,,KONZ-20171004-BREF2-B,,KONZ-20171004-BREF2-C,,,,20211222T035648Z,RELEASE-2022
ca850318-f745-41c1-b595-f8d8aa7791ae,KONZ,2017-10-23,2017-10-23,KONZ-20171023-BREF2,KONZ-20171023-BREF2-A,,KONZ-20171023-BREF2-B,,KONZ-20171023-BREF2-C,,,,20211222T035648Z,RELEASE-2022
e52e56f4-dc90-46ba-8cd3-a281bb816151,KONZ,2017-10-24,2017-10-24,KONZ-20171024-BREF2,KONZ-20171024-BREF2-A,,KONZ-20171024-BREF2-B,,KONZ-20171024-BREF2-C,,,,20211222T035648Z,RELEASE-2022
367d6439-f891-4288-9dbf-1723de57d0fe,UKFS,2018-03-20,2018-03-20,UKFS-20180320-BREF1,UKFS-20180320-BREF1-A,B00000015653,UKFS-20180320-BREF1-B,B00000015654,UKFS-20180320-BREF1-C,B00000015645,,,20211222T034542Z,RELEASE-2022
18e70b76-1f92-4044-8ed2-60b3c362afd9,UKFS,2018-03-21,2018-03-21,UKFS-20180321-BREF1,UKFS-20180321-BREF1-A,B00000015663,UKFS-20180321-BREF1-B,B00000015659,UKFS-20180321-BREF1-C,B00000015662,,,20211222T034542Z,RELEASE-2022
f3cc7daf-88d6-4ea8-8292-8552841ee16d,UKFS,2018-03-22,2018-03-22,UKFS-20180322-BREF1,UKFS-20180322-BREF1-A,B00000015686,UKFS-20180322-BREF1-B,B00000015691,UKFS-20180322-BREF1-C,B00000015690,,,20211222T034542Z,RELEASE-2022
61688595-7294-4833-9bbf-4445062e6a27,UKFS,2018-04-10,2018-04-10,UKFS-20180410-BREF1,UKFS-20180410-BREF1-A,B00000015742,UKFS-20180410-BREF1-B,B00000015681,UKFS-20180410-BREF1-C,B00000015671,,,20211222T032441Z,RELEASE-2022
aeb96e8a-beaa-4c36-99b9-c87607645615,UKFS,2018-04-11,2018-04-11,UKFS-20180411-BREF1,UKFS-20180411-BREF1-A,B00000015737,UKFS-20180411-BREF1-B,B00000015738,UKFS-20180411-BREF1-C,B00000015739,,,20211222T032441Z,RELEASE-2022
1782c383-fd60-4fa8-9cf1-f1b3e85251d5,UKFS,2018-08-14,2018-08-14,UKFS-20180814-BREF1,UKFS-20180814-BREF1-A,B00000015817,UKFS-20180814-BREF1-B,B00000015806,UKFS-20180814-BREF1-C,B00000015834,,,20211221T234320Z,RELEASE-2022
0e1bd423-043c-4120-b854-d00861f76ef8,UKFS,2018-08-15,2018-08-15,UKFS-20180815-BREF2,UKFS-20180815-BREF2-A,B00000016245,UKFS-20180815-BREF2-B,B00000016244,UKFS-20180815-BREF2-C,B00000015833,,,20211221T234320Z,RELEASE-2022
98ff5ca3-d9f5-4fb0-9c97-996232dfb749,UKFS,2018-08-15,2018-08-15,UKFS-20180815-BREF1,UKFS-20180815-BREF1-A,B00000016234,UKFS-20180815-BREF1-B,B00000016264,UKFS-20180815-BREF1-C,B00000016254,,,20211221T234320Z,RELEASE-2022
78bb9c75-a951-4eb4-badd-5e7d772672d8,UKFS,2018-08-16,2018-08-16,UKFS-20180816-BREF1,UKFS-20180816-BREF1-A,B00000016313,UKFS-20180816-BREF1-B,B00000016312,UKFS-20180816-BREF1-C,B00000016314,,,20211221T234320Z,RELEASE-2022
ffae7b37-1825-4f22-b2df-56ee6ea5b0b7,UKFS,2018-08-28,2018-08-28,UKFS-20180828-BREF1,UKFS-20180828-BREF1-A,B00000016304,UKFS-20180828-BREF1-B,B00000016355,UKFS-20180828-BREF1-C,B00000016305,,,20211221T234320Z,RELEASE-2022
92aa4a29-e241-4ab6-8391-78710745b79d,UKFS,2018-08-30,2018-08-30,UKFS-20180830-BREF1,UKFS-20180830-BREF1-A,B00000016571,UKFS-20180830-BREF1-B,B00000016574,UKFS-20180830-BREF1-C,B00000016575,,,20211221T234320Z,RELEASE-2022
e1a05bb3-911a-4084-b80f-56e9dc1f127b,UKFS,2018-10-30,2018-10-30,UKFS-20181030-BREF1,UKFS-20181030-BREF1-A,D00000006238,UKFS-20181030-BREF1-B,D00000006239,UKFS-20181030-BREF1-C,D00000006240,,,20211221T223557Z,RELEASE-2022
