uid,domainID,siteID,plotID,namedLocation,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release
326b5398-4ab0-4239-b3a6-570fa3f6c2b3,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T16:11Z,NEON.DOC.014048vC,M,,,BART_023-M-19-30-20140819,,BART_023-M-19-30-20140819-CN,,BART_023-M-19-30-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
d602d347-39b0-45f9-a77a-f6c104569a81,D01,BART,BART_023,BART_023.basePlot.bgc,2014-08-19T16:11Z,NEON.DOC.014048vC,O,,,BART_023-O-19-30-20140819,,BART_023-O-19-30-20140819-CN,,BART_023-O-19-30-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
68bbe875-6e0f-454e-b6ed-74c1fb645cd9,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T16:30Z,NEON.DOC.014048vC,M,,,BART_005-M-33-2-20140819,,BART_005-M-33-2-20140819-CN,,BART_005-M-33-2-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
6817c9f7-c453-4550-8112-326411619148,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T16:30Z,NEON.DOC.014048vC,O,,,BART_005-O-33-2-20140819,,BART_005-O-33-2-20140819-CN,,BART_005-O-33-2-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
930f73f1-1639-4244-b248-347793dcfd11,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:07Z,NEON.DOC.014048vC,O,,,BART_005-O-4-9-20140819,,BART_005-O-4-9-20140819-CN,,BART_005-O-4-9-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
28895c95-22ae-4b0f-a1c6-27622c275a25,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:07Z,NEON.DOC.014048vC,M,,,BART_005-M-4-9-20140819,,BART_005-M-4-9-20140819-CN,,BART_005-M-4-9-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
7a86cf76-2f45-4db9-a895-af183e17b400,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:34Z,NEON.DOC.014048vC,M,,,BART_005-M-24-40-20140819,,BART_005-M-24-40-20140819-CN,,BART_005-M-24-40-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
2c9e3a17-ef30-4bec-9ba0-873176f56cca,D01,BART,BART_005,BART_005.basePlot.bgc,2014-08-19T17:34Z,NEON.DOC.014048vC,O,,,BART_005-O-24-40-20140819,,BART_005-O-24-40-20140819-CN,,BART_005-O-24-40-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
5777799a-2b9b-429e-b305-d4fafdb8d68f,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:11Z,NEON.DOC.014048vC,M,,,BART_001-M-15-1-20140819,,BART_001-M-15-1-20140819-CN,,BART_001-M-15-1-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
1cb4a1e1-acfe-401c-bfa9-17b8de1dd583,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:11Z,NEON.DOC.014048vC,O,,,BART_001-O-15-1-20140819,,BART_001-O-15-1-20140819-CN,,BART_001-O-15-1-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
b0b48d56-bb21-462e-8efc-83c0ee75cac3,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:40Z,NEON.DOC.014048vC,M,,,BART_001-M-39-16-20140819,,BART_001-M-39-16-20140819-CN,,BART_001-M-39-16-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
e2308ba7-dbfa-4bf0-b488-70325fe75487,D01,BART,BART_001,BART_001.basePlot.bgc,2014-08-19T18:40Z,NEON.DOC.014048vC,O,,,BART_001-O-39-16-20140819,,BART_001-O-39-16-20140819-CN,,BART_001-O-39-16-20140819-BA,,,,OK,,,"",20220107T002933Z,RELEASE-2022
